T[s];D1-Rate[Hz];E1-Rate[Hz];F1-Rate[Hz];G1-Rate[Hz];H1-Rate[Hz];J1-Rate[Hz];C2-Rate[Hz];D2-Rate[Hz];E2-Rate[Hz];F2-Rate[Hz];G2-Rate[Hz];H2-Rate[Hz];J2-Rate[Hz];K2-Rate[Hz];B3-Rate[Hz];C3-Rate[Hz];D3-Rate[Hz];E3-Rate[Hz];F3-Rate[Hz];G3-Rate[Hz];H3-Rate[Hz];J3-Rate[Hz];K3-Rate[Hz];L3-Rate[Hz];C4-Rate[Hz];D4-Rate[Hz];E4-Rate[Hz];F4-Rate[Hz];G4-Rate[Hz];H4-Rate[Hz];J4-Rate[Hz];K4-Rate[Hz];L4-Rate[Hz];M4-Rate[Hz];C5-Rate[Hz];D5-Rate[Hz];E5-Rate[Hz];F5-Rate[Hz];G5-Rate[Hz];H5-Rate[Hz];J5-Rate[Hz];K5-Rate[Hz];L5-Rate[Hz];M5-Rate[Hz];C6-Rate[Hz];D6-Rate[Hz];E6-Rate[Hz];F6-Rate[Hz];G6-Rate[Hz];H6-Rate[Hz];J6-Rate[Hz];K6-Rate[Hz];L6-Rate[Hz];M6-Rate[Hz];C7-Rate[Hz];D7-Rate[Hz];E7-Rate[Hz];F7-Rate[Hz];G7-Rate[Hz];H7-Rate[Hz];J7-Rate[Hz];K7-Rate[Hz];L7-Rate[Hz];M7-Rate[Hz];D8-Rate[Hz];E8-Rate[Hz];F8-Rate[Hz];G8-Rate[Hz];H8-Rate[Hz];J8-Rate[Hz];K8-Rate[Hz];L8-Rate[Hz];M8-Rate[Hz];D9-Rate[Hz];E9-Rate[Hz];F9-Rate[Hz];G9-Rate[Hz];H9-Rate[Hz];J9-Rate[Hz];K9-Rate[Hz];L9-Rate[Hz];M9-Rate[Hz];B10-Rate[Hz];C10-Rate[Hz];D10-Rate[Hz];E10-Rate[Hz];F10-Rate[Hz];G10-Rate[Hz];H10-Rate[Hz];J10-Rate[Hz];K10-Rate[Hz];L10-Rate[Hz];C11-Rate[Hz];D11-Rate[Hz];E11-Rate[Hz];F11-Rate[Hz];G11-Rate[Hz];H11-Rate[Hz];J11-Rate[Hz];K11-Rate[Hz];D12-Rate[Hz];E12-Rate[Hz];F12-Rate[Hz];G12-Rate[Hz];H12-Rate[Hz];J12-Rate[Hz]
1030;0;0;0;0;0;0,1;0;0;0;0;0,5;0,2;0,7;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,2;0,8;0;0;0;0;0;0;0;0;0;0,9;0,6;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0,2;0,6;7,4;0;0;0;0;0;0;0,1;2,5;5,6;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0,2;0;0;0;0,1;0;0;0;0;0;0;0,3
1040;0;0;0;0;0,1;0,1;0;0;0,1;0;0;0,2;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;0;0;0;0;0,1;0;0;0;0,1;0,6;0,4;0;0;0,1;0;0,1;0;0;0,2;0;0;0;0;0,1;0;0;0;0,4;0,5;6,3;0;0;0,1;0;0;0,1;0;2,1;5,2;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0
1050;0;0,1;0,1;0;0,4;0,1;0,1;0;0;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0,8;0;0;0;0;0;0;0,1;0;0;1,4;0,5;0;0;0;0;0;0;0,1;0,1;0;0,2;0;0;0;0;0;0;0,1;0,3;5,7;0;0;0;0;0;0;0;0,7;4,8;0;0;0;0,1;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0,1;0,6
1060;0,1;0;0;0;0,4;0;0,1;0;0;0;0;0,1;0,9;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0,7;0;0;0;0;0;0;0;0,1;0;0,9;0,5;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,4;4,5;0;0;0;0;0;0;0;0,3;4,4;0;0;0;0;0,1;0;0;0;0;0,1;0,1;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0,3
1070;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0,1;0;0;0,1;0;0,7;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0,1;0,3;0;0;0;0;0;0,1;0;0;0,2;0,7;1;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0,2;0;5,4;0;0;0;0;0;0;0;0,5;4,4;0;0;0;0;0;0;0;0;0,1;0;0,2;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0,3
1080;0;0;0;0;0,2;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0,2;0,4;0;0;0;0;0;0;0;0,2;0;0,8;0,8;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0,1;0,3;5,2;0;0;0,5;0;0;0;0;0,7;4,2;0;0;0,1;0,1;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0,2
1090;0,1;0,5;0;0;0,1;0;0;0;0,3;0;0;0;0,4;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0,1;0,4;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0,1;0,1;4,6;0;0;0;0;0;0;0,2;0;3,8;0;0;0;0;0;0;0,1;0;0,1;0;0,1;0;0;0;0;0;0;0;0,1;0,3;0;0;0;0;0;0,1
1100;0;0,1;0;0;0,9;0;0;0;0;0;0;0;0,4;0;0;0;0,1;0;0;0,2;0;0;0,1;0;0;0;0;0,2;0,1;0,7;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0,2;0,4;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0,2;3,6;0;0;0;0,1;0;0;0;0,8;4,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
1110;0;0;0;0,1;0,2;0;0;0;0;0;0,1;0,4;0,1;0,2;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,7;0;0;0;0;0;0;0;0,1;4,1;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0
1120;0;0;0;0;0;0;1,9;0;0;0;0;0;0,3;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0,3;3,2;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0,1
1130;0;0,2;0;0;0;0;0,2;0,1;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0,1;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;4,6;0;0;0;0;0;0;0;0,1;3,3;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0
1140;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,4;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;3,4;0;0;0;0;0,1;0;0;0,9;3,8;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;0;0,007692308;0,007692308;0,030769231;0,015384615;0,007692308;0,176923077;0;2,853846154;0,046153846;0,023076923;0,061538462;0;0,007692308;0;0;0,076923077;0,107692308;0;0;0,007692308;0;0,023076923;0;0;0,007692308;0;0;0;0;0,007692308;0,007692308;0;0;0;0;0;0,007692308;0;0;0;0;0;0;0;0;0;0;0,007692308;0,007692308;0,007692308;0;0;0;0,015384615;0;0;0;0,084615385;0,007692308;0;0;0,007692308;0;0,007692308;0;0;0;0,007692308;0;0,038461538;0;0;0;0;0;0,015384615;0;0;0,084615385;0;0;0;0;0;0;0;0;0;0;0;0;0,007692308;0;0;0;0;0;0;0;0;0;0;0;0;0
CCh1;5,915384615;5,384615385;0,184615385;0,192307692;0,253846154;0,638461538;0,030769231;3,307692308;2,007692308;0,676923077;0,346153846;2,276923077;0,438461538;0,015384615;0,830769231;7,607692308;6,1;0,2;0,969230769;0,438461538;0,276923077;0,038461538;0,323076923;0;6,523076923;3,023076923;0;0,346153846;0,3;1,107692308;0;0;0;0;9,361538462;5,446153846;1,223076923;0,707692308;0,438461538;0,430769231;0,338461538;0;0;0;6,330769231;4,915384615;0,107692308;1,876923077;1,007692308;0,307692308;0,669230769;0,230769231;0;0;1,476923077;2,730769231;0;0,053846154;0,369230769;0,223076923;0,1;0,030769231;0;0;0,407692308;0,046153846;0,007692308;0,007692308;0,5;1,846153846;0,4;0;0;2,276923077;0,4;0,007692308;0,007692308;0,284615385;1,038461538;2,423076923;0;0;0,192307692;1,453846154;0,361538462;0,015384615;0,007692308;0;0,030769231;0,061538462;0,038461538;0;1,015384615;0,984615385;0;0;0;0,038461538;0,346153846;0,007692308;0,061538462;0,023076923;0;0,007692308;0;0
Washout 1;0,007692308;0,007692308;0,007692308;0;0;0;0,007692308;0;0,053846154;0;0;0;0;0,007692308;0;0,007692308;0,015384615;0;0,046153846;0;0;0,007692308;0;0;0;0,015384615;0;0,007692308;0;0,007692308;0;0;0;0;0,007692308;0,007692308;0;0;0;0;0;0;0;0,007692308;0,007692308;0;0;0,007692308;0,007692308;0;0;0,007692308;0;0;0;0,007692308;0;0,007692308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007692308;0;0;0;0,007692308;0;0;0;0;0;0,007692308;0;0,007692308;0,007692308;0;0;0;0;0;0;0,015384615;0,007692308;0;0;0;0;0;0;0;0;0;0;0
CCh2;0,015384615;0,023076923;0,007692308;0;0;0,007692308;0,053846154;0,015384615;0,1;0;0;0,015384615;0,107692308;0;0;0,015384615;0,015384615;0,007692308;0,046153846;0,007692308;0;0,007692308;0;0;0;0,030769231;0;0,053846154;0;0,023076923;0;0;0;0;0;0;0;0;0,007692308;0,007692308;0;0;0;0;0,007692308;0,007692308;0;0;0,015384615;0,007692308;0,007692308;0,046153846;0;0;0;0;0,007692308;0;0,007692308;0,192307692;0,015384615;0;0;0;0;0;0,007692308;0,015384615;0;0,1;0,569230769;0;0;0;0;0;0;0,030769231;0,338461538;0,161538462;0;0;0;0,007692308;0,007692308;0;0;0;0,007692308;0,007692308;0,038461538;0,007692308;0;0;0;0;0,007692308;0;0,030769231;0,030769231;0;0;0;0,007692308;0;0,023076923
Washout 2;0,030769231;0,069230769;0,007692308;0,007692308;0,2;0,023076923;0,176923077;0,007692308;0,069230769;0;0,053846154;0,069230769;0,446153846;0,030769231;0;0;0,030769231;0;0,053846154;0,030769231;0,023076923;0,030769231;0,007692308;0;0;0,023076923;0,007692308;0,046153846;0,023076923;0,207692308;0;0;0;0;0;0,007692308;0;0,015384615;0,023076923;0,092307692;0,446153846;0;0;0;0,007692308;0,007692308;0,015384615;0,015384615;0,023076923;0,046153846;0,615384615;0,423076923;0;0;0,023076923;0,007692308;0,015384615;0;0,015384615;0,092307692;0,023076923;0,061538462;0;0,007692308;0,007692308;0,007692308;0;0,007692308;0,1;0,292307692;4,561538462;0;0;0,053846154;0,007692308;0;0,015384615;0,046153846;0,815384615;4,661538462;0,015384615;0;0,007692308;0,015384615;0,007692308;0;0,007692308;0;0,038461538;0,015384615;0,176923077;0;0;0;0,053846154;0;0;0,023076923;0,069230769;0,069230769;0;0;0;0,007692308;0,015384615;0,153846154
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baseline ;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CCh1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0
Washout 1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CCh2;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
Washout 2;1;1;0;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1
